id,text,file,node,lineNumber
line:094b769,It was dark by the time I arrived to the cabin.,Intro,Start_Intro,10
line:0c00d77,"I had almost expected the lights to be on, extending its shine toward me with a comforting warmth.",Intro,Start_Intro,11
line:0af5e43,"This time, only shadow shrouded the windows. In a way, that too was comforting.",Intro,Start_Intro,12
line:05b42f6,It meant that this place had been left perfectly undisturbed.,Intro,Start_Intro,13
line:064f348,"Reaching into my bag, I pulled out a brass key. Thankfully, I'd kept the copy safe through all these years. Could never bring myself to get rid of it.",Intro,Start_Intro,14
line:015fcc4,The reminder of regret was now only fueling a sense of strange satisfaction as I opened up the door after a few hurried jiggles.,Intro,Start_Intro,15
line:0dbcbe5,"""Geez... what a mess.""",Intro,Intro_Livingroom,49
line:02d743f,"He had always been a hoarder, so this was to be expected. The main question was whether he'd burned what I was looking for or not.",Intro,Intro_Livingroom,50
line:0a2b893,I moved some of the items strewn on the couch onto a precarious pile on the table and sat down with a huff.,Intro,Intro_Livingroom,51
line:02ecd55,"""It's going to take forever to sort through all this, isn't it?""",Intro,Intro_Livingroom,52
line:0f59b31,"I briefly considered starting right away, but...",Intro,Intro_Livingroom,53
line:0188a50,"After the effort it took to get here, it would be best to rest.",Intro,Intro_Livingroom,54
line:07fe8c6,I'd rather not have my back screaming at me if I happened to pass out on the floor.,Intro,Intro_Livingroom,55
line:04773e6,"Comforted by the fact that I had plenty of time to search, I stepped carefully over the clutter and made my way to bed.",Intro,Intro_Livingroom,56
line:0f61746,"""Huh...""",Intro,Intro_Bedroom,68
line:026bbfe,"""It's actually quite decent.""",Intro,Intro_Bedroom,69
line:0d21750,"The living room was the victim when it came to being treated as a landfill, it seems.",Intro,Intro_Bedroom,70
line:03a9e54,"Twisting a lock of hair as I glanced around, I couldn't help but feel watched.",Intro,Intro_Bedroom,71
line:0107487,"It was as though a little serpent had twisted itself tightly around my intestines, hissing a tune of unease.",Intro,Intro_Bedroom,72
line:0fff094,"This room, this... home.",Intro,Intro_Bedroom,73
line:0986040,Familiar in the best and worst ways.,Intro,Intro_Bedroom,74
line:05fa894,"Hazy, I tentatively lift up the covers and peek underneath.",Intro,Intro_Bedroom,75
line:07fb10d,Nothing.,Intro,Intro_Bedroom,76
line:0af3a7b,"""...""",Intro,Intro_Bedroom,77
line:0d28099,A deep breath.,Intro,Intro_Bedroom,78
line:05f34b0,"""Good night to me.""",Intro,Intro_Bedroom,79
